bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
human229e | 4a protein [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 493
human229e | 4a protein [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 886
human229e | 4a protein [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3660
human229e | 4a protein [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 196
human229e | 4a protein [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 207
human229e | 4a protein [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 379
human229e | 4a protein [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 954
human229e | 4a protein [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 241
human229e | 4a protein [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12747
human229e | 4a protein [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20883
human229e | 4a protein [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3660
human229e | 4a protein [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 197
human229e | 4a protein [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 200
human229e | 4a protein [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 406
human229e | 4a protein [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 356
human229e | 4a protein [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 215
human229e | 4a protein [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 346
human229e | 4a protein [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 855
human229e | 4a protein [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 201
human229e | 4a protein [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20832
human229e | 4a protein [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12771
human229e | 4a protein [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3366
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 475
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 221
human229e | 4a protein [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 217
human229e | 4a protein [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 352
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 234
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 203
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 272
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 285
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 204
human229e | 4a protein [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 884
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 213
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 228
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20817
human229e | 4a protein [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12744
human229e | 4b protein [Human coronavirus 229E], human229e | envelope protein [Human coronavirus 229E], 138
human229e | 4b protein [Human coronavirus 229E], human229e | membrane protein [Human coronavirus 229E], 429
human229e | 4b protein [Human coronavirus 229E], human229e | nucleocapsid protein [Human coronavirus 229E], 903
human229e | 4b protein [Human coronavirus 229E], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 20007
human229e | 4b protein [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11988
human229e | 4b protein [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 580
human229e | 4b protein [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 1008
human229e | 4b protein [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3795
human229e | 4b protein [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 166
human229e | 4b protein [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 136
human229e | 4b protein [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 444
human229e | 4b protein [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1080
human229e | 4b protein [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 140
human229e | 4b protein [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12882
human229e | 4b protein [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 21018
human229e | 4b protein [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3795
human229e | 4b protein [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 161
human229e | 4b protein [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 167
human229e | 4b protein [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 490
human229e | 4b protein [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 429
human229e | 4b protein [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 138
human229e | 4b protein [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 413
human229e | 4b protein [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 975
human229e | 4b protein [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 175
human229e | 4b protein [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20967
human229e | 4b protein [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12906
human229e | 4b protein [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3501
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 566
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 246
human229e | 4b protein [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 131
human229e | 4b protein [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 418
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 134
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 187
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 154
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 162
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 136
human229e | 4b protein [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 1002
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 163
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 139
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20952
human229e | 4b protein [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12879
human229e | envelope protein [Human coronavirus 229E], human229e | membrane protein [Human coronavirus 229E], 454
human229e | envelope protein [Human coronavirus 229E], human229e | nucleocapsid protein [Human coronavirus 229E], 936
human229e | envelope protein [Human coronavirus 229E], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 20040
human229e | envelope protein [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 12021
human229e | envelope protein [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 608
human229e | envelope protein [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 1041
human229e | envelope protein [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3828
human229e | envelope protein [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 163
human229e | envelope protein [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 119
human229e | envelope protein [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 470
human229e | envelope protein [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1113
human229e | envelope protein [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 123
human229e | envelope protein [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12915
human229e | envelope protein [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 21051
human229e | envelope protein [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3828
human229e | envelope protein [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 156
human229e | envelope protein [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 169
human229e | envelope protein [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 513
human229e | envelope protein [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 446
human229e | envelope protein [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 117
human229e | envelope protein [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 436
human229e | envelope protein [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 1008
human229e | envelope protein [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 182
human229e | envelope protein [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 21000
human229e | envelope protein [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12939
human229e | envelope protein [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3534
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 593
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 265
human229e | envelope protein [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 115
human229e | envelope protein [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 445
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 115
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 198
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 123
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 134
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 123
human229e | envelope protein [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 1035
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 155
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 128
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20985
human229e | envelope protein [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12912
human229e | membrane protein [Human coronavirus 229E], human229e | nucleocapsid protein [Human coronavirus 229E], 642
human229e | membrane protein [Human coronavirus 229E], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19596
human229e | membrane protein [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11577
human229e | membrane protein [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 417
human229e | membrane protein [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 723
human229e | membrane protein [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3384
human229e | membrane protein [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 391
human229e | membrane protein [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 437
human229e | membrane protein [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 320
human229e | membrane protein [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 784
human229e | membrane protein [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 497
human229e | membrane protein [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12471
human229e | membrane protein [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20607
human229e | membrane protein [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3384
human229e | membrane protein [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 403
human229e | membrane protein [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 395
human229e | membrane protein [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 376
human229e | membrane protein [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 355
